n,temps_FF,temps_PR,temps_MIN,rapport_FF_PR
40,0.125,0.03125,0.359375,4.0
40,0.125,0.484375,0.3125,0.25806451612903225
40,0.109375,0.015625,0.140625,7.0
40,0.09375,0.015625,0.171875,6.0
40,0.203125,0.578125,0.3125,0.35135135135135137
40,0.1875,0.59375,0.140625,0.3157894736842105
40,0.125,0.46875,0.265625,0.26666666666666666
40,0.09375,0.578125,0.1875,0.16216216216216217
40,0.140625,0.609375,0.265625,0.23076923076923078
40,0.15625,0.015625,0.171875,10.0
40,0.140625,0.65625,0.21875,0.21428571428571427
40,0.15625,0.609375,0.25,0.2564102564102564
40,0.15625,0.03125,0.296875,5.0
40,0.15625,0.546875,0.265625,0.2857142857142857
40,0.140625,0.484375,0.15625,0.2903225806451613
40,0.046875,0.03125,0.1875,1.5
40,0.0625,0.046875,0.171875,1.3333333333333333
40,0.1875,0.46875,0.171875,0.4
40,0.125,0.015625,0.28125,8.0
40,0.15625,0.421875,0.296875,0.37037037037037035
40,0.140625,0.0625,0.171875,2.25
40,0.140625,0.0625,0.1875,2.25
40,0.078125,0.015625,0.109375,5.0
40,0.109375,0.609375,0.234375,0.1794871794871795
40,0.1875,0.03125,0.1875,6.0
40,0.140625,0.046875,0.265625,3.0
40,0.09375,0.03125,0.265625,3.0
40,0.109375,0.03125,0.15625,3.5
40,0.1875,0.625,0.25,0.3
40,0.1875,0.5625,0.203125,0.3333333333333333
40,0.125,0.5625,0.203125,0.2222222222222222
40,0.1875,0.421875,0.234375,0.4444444444444444
40,0.125,0.046875,0.265625,2.6666666666666665
40,0.15625,0.53125,0.234375,0.29411764705882354
40,0.078125,0.5625,0.234375,0.1388888888888889
40,0.078125,0.046875,0.265625,1.6666666666666667
40,0.109375,0.015625,0.140625,7.0
40,0.109375,0.5625,0.25,0.19444444444444445
40,0.140625,0.5625,0.140625,0.25
40,0.140625,0.015625,0.296875,9.0
40,0.140625,0.015625,0.234375,9.0
40,0.109375,0.484375,0.21875,0.22580645161290322
40,0.109375,0.03125,0.265625,3.5
40,0.171875,0.46875,0.1875,0.36666666666666664
40,0.171875,0.03125,0.28125,5.5
40,0.125,0.609375,0.28125,0.20512820512820512
40,0.09375,0.03125,0.15625,3.0
40,0.125,0.015625,0.234375,8.0
40,0.109375,0.015625,0.234375,7.0
40,0.15625,0.03125,0.21875,5.0
40,0.109375,0.046875,0.203125,2.3333333333333335
40,0.015625,0.03125,0.125,0.5
40,0.15625,0.015625,0.234375,10.0
40,0.234375,0.03125,0.296875,7.5
40,0.15625,0.65625,0.234375,0.23809523809523808
40,0.140625,0.5625,0.203125,0.25
40,0.15625,0.515625,0.203125,0.30303030303030304
40,0.046875,0.53125,0.140625,0.08823529411764706
40,0.09375,0.015625,0.09375,6.0
40,0.0625,0.65625,0.21875,0.09523809523809523
40,0.140625,0.328125,0.234375,0.42857142857142855
40,0.109375,0.5,0.1875,0.21875
40,0.09375,0.40625,0.28125,0.23076923076923078
40,0.109375,0.640625,0.125,0.17073170731707318
40,0.125,0.0,0.09375,0
40,0.234375,0.515625,0.265625,0.45454545454545453
40,0.125,0.5,0.171875,0.25
40,0.125,0.546875,0.203125,0.22857142857142856
40,0.109375,0.5625,0.203125,0.19444444444444445
40,0.171875,0.546875,0.21875,0.3142857142857143
40,0.125,0.46875,0.28125,0.26666666666666666
40,0.140625,0.65625,0.125,0.21428571428571427
40,0.109375,0.046875,0.21875,2.3333333333333335
40,0.140625,0.046875,0.3125,3.0
40,0.046875,0.5,0.234375,0.09375
40,0.125,0.03125,0.1875,4.0
40,0.125,0.5625,0.25,0.2222222222222222
40,0.125,0.03125,0.15625,4.0
40,0.109375,0.03125,0.1875,3.5
40,0.109375,0.421875,0.328125,0.25925925925925924
40,0.25,0.03125,0.203125,8.0
40,0.125,0.046875,0.296875,2.6666666666666665
40,0.125,0.03125,0.296875,4.0
40,0.125,0.046875,0.234375,2.6666666666666665
40,0.140625,0.6875,0.203125,0.20454545454545456
40,0.15625,0.015625,0.359375,10.0
40,0.125,0.421875,0.265625,0.2962962962962963
40,0.078125,0.03125,0.21875,2.5
40,0.09375,0.59375,0.1875,0.15789473684210525
40,0.203125,0.40625,0.25,0.5
40,0.09375,0.015625,0.125,6.0
40,0.140625,0.03125,0.125,4.5
40,0.0625,0.546875,0.265625,0.11428571428571428
40,0.140625,0.03125,0.203125,4.5
40,0.109375,0.5,0.28125,0.21875
40,0.1875,0.59375,0.296875,0.3157894736842105
40,0.203125,0.625,0.15625,0.325
40,0.125,0.484375,0.296875,0.25806451612903225
40,0.046875,0.484375,0.25,0.0967741935483871
40,0.1875,0.046875,0.3125,4.0
